company_id,company_name,report_year,source_file,category,keyword,search_variant,page_number,matched_text,context
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,"Fairness, bias and ethics",fairness,fairness,2,fairness,"d opportunity in courage, transparency and humility, putting the what we do, championing leaving things better than our business, trust those we and fairness in all we do people and businesses innovation and using we found them work with, and value we serve at the centre of"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,AI,AI,6,AI,"rough 2025 with rapid We are guided by our Values, with an abiding Facts and figures this landscape. We continued to help customers advances in AI, technology continues to be a commitment to be a fair and inclusive manage their money and supported businesses major force of change in the global economy, organisa"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,AI,AI,6,AI,"bringing both opportunity and risk. Barclays is change to focus on ‘Inclusion and Opportunity’ small businesses in the UK and supported adopting AI responsibly, harnessing it as a lever in our ongoing effort to promote and embed a 146,000 mortgage completions, including to enhance efficiency in routine ban"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,AI,AI,7,AI,"to deepen our grasp of the opportunities and challenges as we work towards capital markets and digital assets. As part of this sponsorships continue to have a positive and culture of change driving the AI revolution. Such our new targets, continue to adapt to the we must push for alignment and interoperability lasting impact on society. Over 90% of schools engagement continues to prove invaluable to our cha"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,automation,automation,22,automation,"control resilience, including by increasing our automation levels. and service this year, supporting clients across"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,generative AI,generative AI,22,generative AI,"folios, and maintained their strong underlying productivity and generative AI (GenAI) capabilities long-term investment performance."
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,42,artificial intelligence,"class customer experience; and delivering best You can find out more about how the Directors have had regard to the matters set out in Section embracing artificial intelligence (AI) and other new in classservicecustomer 172(1) when discharging their duties, and the technologies in"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,automation,automation,43,automation,"ith colleagues working on The Board has continued to critically assess and individual tolerance thresholds for somesimpler and safer, and building and maintaining automation (including the use of AI responsibly) the risks associated with technology and of the Group's important business services fortrust and confidence has also been an area of"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,62,artificial intelligence,"ds (including business or operations; the use of newor current facts. Forward-looking statements emissions accounting methodologies); changes technology, including artificial intelligence; thesometimes use words such as ‘may’, ‘will’, ‘seek’, in tax laws and practice; the outcome of current Group’s ability to access funding; and the success‘"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,109,artificial intelligence,"ustainability reporting standards (including business or operations; the use of new ‘continue’, ‘aim’, ‘anticipate’, ‘target’, ‘projected’, emissions accounting methodologies); changes technology, including artificial intelligence; the ‘expect’, ‘estimate’, ‘intend’, ‘plan’, ‘goal’, ‘believe’, in tax laws and practice; the outcome of current Group’s ability to access funding; and the success ‘achieve’ or other words of similar meaning."
